"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","SackYds"
"patrick mahomes ii","QB","KC","2018","11","478","6","33","46","71.7%","10.4","73","117.6","3","3","30"
"jared goff","QB","LAR","2018","11","413","4","31","49","63.3%","8.4","40","117.1","0","5","34"
"philip rivers","QB","LAC","2018","11","401","2","28","43","65.1%","9.3","32","91.3","2","3","17"
"drew brees","QB","NO","2018","11","363","4","22","30","73.3%","12.1","38","153.2","0","0","0"
"cam newton","QB","CAR","2018","11","357","3","25","37","67.6%","9.6","82","114.4","1","3","26"
"aaron rodgers","QB","GB","2018","11","332","2","21","30","70.0%","11.1","57","128.8","0","5","21"
"ben roethlisberger","QB","PIT","2018","11","314","2","27","47","57.4%","6.7","78","65.4","3","2","17"
"andrew luck","QB","IND","2018","11","297","3","23","29","79.3%","10.2","68","143.8","0","0","0"
"matt ryan","QB","ATL","2018","11","291","1","24","34","70.6%","8.6","34","94.1","1","3","17"
"kirk cousins","QB","MIN","2018","11","262","2","30","46","65.2%","5.7","25","76.5","2","2","16"
"eli manning","QB","NYG","2018","11","231","2","17","18","94.4%","12.8","54","155.8","0","4","35"
"russell wilson","QB","SEA","2018","11","225","2","21","31","67.7%","7.3","34","110.3","0","3","20"
"matthew stafford","QB","DET","2018","11","220","1","23","37","62.2%","5.9","36","87.7","0","1","5"
"andy dalton","QB","CIN","2018","11","211","2","19","36","52.8%","5.9","32","89.0","0","1","4"
"dak prescott","QB","DAL","2018","11","208","0","22","32","68.8%","6.5","34","86.5","0","2","17"
"deshaun watson","QB","HOU","2018","11","208","1","16","24","66.7%","8.7","40","72.9","2","3","27"
"case keenum","QB","DEN","2018","11","205","0","19","32","59.4%","6.4","39","78.3","0","0","0"
"jameis winston","QB","TB","2018","11","199","2","12","16","75.0%","12.4","41","129.9","1","0","0"
"derek carr","QB","OAK","2018","11","192","2","19","31","61.3%","6.2","32","100.5","0","4","19"
"ryan fitzpatrick","QB","TB","2018","11","167","0","13","21","61.9%","8.0","39","47.2","3","1","7"
"mitchell trubisky","QB","CHI","2018","11","165","1","20","31","64.5%","5.3","18","61.9","2","1","5"
"carson wentz","QB","PHI","2018","11","156","0","19","33","57.6%","4.7","19","31.9","3","3","18"
"lamar jackson","QB","BAL","2018","11","150","0","13","19","68.4%","7.9","23","70.1","1","3","14"
"josh rosen","QB","ARI","2018","11","136","3","9","20","45.0%","6.8","59","67.9","2","1","8"
"alex smith","QB","WAS","2018","11","135","0","12","27","44.4%","5.0","24","29.1","2","3","22"
"blaine gabbert","QB","TEN","2018","11","118","1","11","16","68.8%","7.4","28","84.9","1","1","8"
"blake bortles","QB","JAX","2018","11","104","0","10","18","55.6%","5.8","26","72.5","0","6","40"
"marcus mariota","QB","TEN","2018","11","85","0","10","13","76.9%","6.5","23","61.4","1","4","19"
"colt mccoy","QB","WAS","2018","11","54","1","6","12","50.0%","4.5","12","90.3","0","2","13"
"colby wadman","P","DEN","2018","11","12","0","1","1","100.0%","12.0","12","116.7","0","0","0"
"taysom hill","TE","NO","2018","11","10","0","1","2","50.0%","5.0","10","64.6","0","0","0"
"eric ebron","TE","IND","2018","11","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"taylor heinicke","QB","CAR","2018","11","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"tyler boyd","WR","CIN","2018","11","0","0","0","1","0.0%","0.0","0","39.6","0","0","0"
"jacoby brissett","QB","IND","2018","11","-2","0","1","2","50.0%","-1.0","-2","56.2","0","0","0"
